Year,Highest certificate obtained,State,Labour Force ('000),Employed persons ('000)
1985,UPSR/UPSRA or equivalent,Malaysia,-,-
1985,PT3/PMR/SRP/LCE/SRA or equivalent,Malaysia,587.7,532
1985,SPM or equivalent,Malaysia,905.2,826.9
1985,STPM or equivalent,Malaysia,77.9,70.7
1985,Certificate,Malaysia,-,-
1985,Diploma,Malaysia,155.2,150.8
1985,Degree,Malaysia,126.6,120.2
1985,Religious certificate,Malaysia,9.8,9.5
1985,No certificate,Malaysia,"3,322.10","3,156.90"
1985,Not applicable,Malaysia,805.2,785.7
1985,Total,Johor,710.4,672.7
1985,UPSR/UPSRA or equivalent,Johor,-,-
1985,PT3/PMR/SRP/LCE/SRA or equivalent,Johor,60.3,54.9
1985,SPM or equivalent,Johor,100.3,90.5
1985,STPM or equivalent,Johor,8.2,7.2
1985,Certificate,Johor,-,-
1985,Diploma,Johor,19.2,18.7
1985,Degree,Johor,10.7,10
1985,Religious certificate,Johor,1,1
1985,No certificate,Johor,449.8,431
1985,Not applicable,Johor,60.9,59.3
1985,Total,Kedah,445.4,413.8
1985,UPSR/UPSRA or equivalent,Kedah,-,-
1985,PT3/PMR/SRP/LCE/SRA or equivalent,Kedah,32.3,28
1985,SPM or equivalent,Kedah,56.4,46.9
1985,STPM or equivalent,Kedah,4.1,3.1
1985,Certificate,Kedah,-,-
1985,Diploma,Kedah,12.9,12.5
1985,Degree,Kedah,4.3,3.9
1985,Religious certificate,Kedah,1.1,1.1
1985,No certificate,Kedah,266.4,252.6
1985,Not applicable,Kedah,67.8,65.7
1985,Total,Kelantan,344.3,323.6
1985,UPSR/UPSRA or equivalent,Kelantan,-,-
1985,PT3/PMR/SRP/LCE/SRA or equivalent,Kelantan,24.6,21.8
1985,SPM or equivalent,Kelantan,46.2,38.4
1985,STPM or equivalent,Kelantan,4.2,3.2
1985,Certificate,Kelantan,-,-
1985,Diploma,Kelantan,10.5,10.1
1985,Degree,Kelantan,5.1,4.5
1985,Religious certificate,Kelantan,0.8,0.8
1985,No certificate,Kelantan,153.5,146.7
1985,Not applicable,Kelantan,99.3,98
1985,Total,Melaka,180,170.1
1985,UPSR/UPSRA or equivalent,Melaka,-,-
1985,PT3/PMR/SRP/LCE/SRA or equivalent,Melaka,17.7,16.8
1985,SPM or equivalent,Melaka,29,26.4
1985,STPM or equivalent,Melaka,2.3,1.9
1985,Certificate,Melaka,-,-
